timefield,date,class,subclass,province,city,district,rank,name,id,passage_count,read_total,read_viral,read_average,tops_total,likes_total,forward_total,WCI,avatar
day,2024/5/1,科技,,,,,1,科普中国,Science_China,10,375430,320000,37543,1390,3275,0,1668.39,http://wx.qlogo.cn/mmhead/Q3auHgzwzM5WNT3fIqrOcJkUbiczhaVeeuknDIcdWyc3WEyMt2x2W3w/132
day,2024/5/1,科技,,,,,2,差评,chaping321,6,270330,100000,45055,283,1451,0,1551.21,http://wx.qlogo.cn/mmhead/Q3auHgzwzM6xLSHsmQn0ic8G4pgHC54jfUw9WiajH8CctzZibLzx4MMBg/132
day,2024/5/1,科技,,,,,3,中国移动和包,cmhebao,4,133736,100000,33434,232,565,0,1430.8,http://wx.qlogo.cn/mmhead/Q3auHgzwzM4EuTQ0ribVJbAkDwCF7lf55Hff1flpMET43ia5txCicq1Fw/132
day,2024/5/1,科技,,,,,4,一亩三分地Warald,Warald_1point3acres,3,147864,100000,49288,79,164,0,1417.56,http://wx.qlogo.cn/mmhead/Q3auHgzwzM7SBOE7cyqILwB2hsHuwvFxeWMxA5gbnbPBJ4fdiaU8ictg/132
day,2024/5/1,科技,,,,,5,投资界,pedaily2012,2,110730,100000,55365,130,321,0,1410.34,http://wx.qlogo.cn/mmhead/Q3auHgzwzM7pfHR5JXkBNKYBgJZZr28Y0PTT5dSIF3hX6V0E8picZLQ/132
day,2024/5/1,科技,,,,,6,正和岛,zhenghedao,4,120156,100000,30039,220,330,0,1401.34,http://wx.qlogo.cn/mmhead/Q3auHgzwzM7PXCqiaXuY6v5DbCrSnmW4ZFvz6pquqlKC49Ria4hyVsqg/132
day,2024/5/1,科技,,,,,7,笔吧评测室,bibacps,4,116844,83701,29211,25,247,0,1332.84,http://wx.qlogo.cn/mmhead/Q3auHgzwzM4ojOCibjH5nkUR5U8fibxuqTOIxD3MgB6MIhyCvVn0SHLQ/132
day,2024/5/1,科技,,,,,8,刘润,runliu-pub,3,84015,52962,28005,205,570,0,1328.88,http://wx.qlogo.cn/mmhead/Q3auHgzwzM5XkXuPCs4YMaek3hDRzVA8l10c5l93dQbcnL6DVVfwFQ/132
day,2024/5/1,科技,,,,,9,江西电信,jx189cn,3,80268,64406,26756,60,159,0,1284.84,http://wx.qlogo.cn/mmhead/ChCs6YSVOGXuYutTCG5JzN6yJicnVWlwiaiatcmN3R25o17yN4CiceiaBxhlNlyLn0Xxsh3Cic9bSpasU/132
day,2024/5/1,科技,,,,,10,金错刀,ijincuodao,4,87792,77984,21948,31,93,0,1271.5,http://wx.qlogo.cn/mmhead/Q3auHgzwzM77y7ECjjZYrvsic1OfzmNQROjibDG9T52vOYxy1ibwLJ6Yw/132
day,2024/5/1,科技,,,,,11,河北电信,heb189,5,76160,48363,15232,123,314,0,1266.46,http://wx.qlogo.cn/mmhead/XFJ8HdGGwGACicPPIKYoEbFMFvL9kDyUu6zaOmGiaKjoIPSw4lqY4PT1TVGeiadlq5Diceed8RNsrfw/132
day,2024/5/1,科技,,,,,12,中国电信,chinatelecom-189,1,45366,45366,45366,153,315,0,1262.6,http://wx.qlogo.cn/mmhead/Q3auHgzwzM6OhntIWrc5QGlx9M8SemicPHDP0qSBRCibibvDCpia3kN3Cg/132
