,title,link,create_time
0,志愿服务 | 银发补习班：智慧银龄·智享生活,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651392412&idx=1&sn=d14a0f6225e49d1bc9e4cd6b3bc4ad0e&chksm=bd1ca4298a6b2d3facf01575876728c48c12d60e780229393c0f6de170bcee90f9c74911f1fd#rd,2024/12/14 20:19
1,珞珈成长导师茶座 | 第二期：自由在风里，答案在路上,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651392394&idx=1&sn=4473397844573d0a2038817bc82b9444&chksm=bd1ca43f8a6b2d298e93724e92619c7cbc6b5551a50d8b1ad14f45e8d5d570fd05a74f507b46#rd,2024/12/13 22:32
2,辩者有道·行者无疆 | 院新辩论赛圆满收官,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651392394&idx=2&sn=6abe63f3ab09044397ed6b010bb3b36c&chksm=bd1ca43f8a6b2d29f013b48e4a336309822d53cc8acade76680ceb634d1d59a147595cce0ae3#rd,2024/12/13 22:32
3,活动预热 | 有了SIM学习帮，妈妈再也不用担心我的学习！！,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651392290&idx=1&sn=2c38d2e39cda62cf0a41fcb5281d58d7&chksm=bd1ca4978a6b2d81bd07365955f6694f34642aab8bd3f7d6968247204c8342e613dfaa7638bb#rd,2024/12/12 20:07
4,青年大学习 | 学习宣传贯彻党的二十届三中全会精神特辑（三）,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651392269&idx=1&sn=54ea1018712df7b5bd4adf1fff26022a&chksm=bd1ca4b88a6b2daef7207ac4c3dbb8d5aef0a5adacd65d3049e05f93d128f017e5f77894e5db#rd,2024/12/11 18:43
5,珞珈成长导师茶座 | 第二期：自由在风里，答案在路上,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651392263&idx=1&sn=18fda5a34d6e2100bf8f2d794322c7e1&chksm=bd1ca4b28a6b2da48f3387a142a8c4ff79203ba1f2505934d969093ccb36b9986e0d4b6638fa#rd,2024/12/10 20:58
6,聆听互动，共谋发展——信息管理学院院领导接待日活动成功举办,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651392263&idx=2&sn=e592b9c2eaf0e7850800623f14075f1c&chksm=bd1ca4b28a6b2da44f991b35003aabf649ca4bd82b72093208b673d92eb7daaf8ffbfef0d50e#rd,2024/12/10 20:58
7,档案学2022级本科生参加首届全国高校档案学本科生论坛暨人才培养研讨会,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651392263&idx=3&sn=50b73239d725dc7ada06812c2bcedbd6&chksm=bd1ca4b28a6b2da4a46b3de9df22e6f46997ea531f58e3d9b0d2358f556b0c9a7474da3060ff#rd,2024/12/10 20:58
8,珞珈周跑活动回顾 | 珞珈逐风展活力，信管跃步焕青春,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651392263&idx=4&sn=a2dcf339fda6122cf9d6f5f528ce3231&chksm=bd1ca4b28a6b2da40ab7dfca37fed4bc205fa46732725917b48901b093aa7c07ff63a28effa4#rd,2024/12/10 20:58
9,未来学院回顾｜“字句精雕，文韵悠长”推文写作与拟题课程,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651392263&idx=5&sn=35b0f903e6ceec904b3905d111324113&chksm=bd1ca4b28a6b2da45f2a4abe2235900a722d855d07215391007409d302aff9030ea8980c1aa1#rd,2024/12/10 20:58
10,扬拍起航，乒搏未来 | “小红花”杯乒乓球赛圆满落幕,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651392263&idx=6&sn=673ab650801af2014de4a6b1097e0a4c&chksm=bd1ca4b28a6b2da4c7de1abcef077d90495030086734bf7943d69fb6885f888ca88bc9f384f2#rd,2024/12/10 20:58
11,生活权益｜常见问题——自助打印篇,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651392171&idx=2&sn=6d1d7a6042a4599732002b25cfaeefc9&chksm=bd1ca51e8a6b2c084ceaba2e8b141ddd0e770c802a7b9b0687c284241edcc2ccb0666d99f243#rd,2024/12/9 18:36
12,第三届学风建设设计大赛获奖成果展 | 落笔溢光芒，携手育良风,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651392128&idx=1&sn=87fd04f2af0e8800a1bacd730b3abbd7&chksm=bd1ca5358a6b2c238d9cf13711f34336d0d88d908c9f294b56d25718feb6d51eac658aaca51e#rd,2024/12/8 20:29
13,主题班会｜2406班：学风织梦，智绘蓝图,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651392120&idx=1&sn=dfead3c71e314438ad84604fcec742ec&chksm=bd1ca5cd8a6b2cdbaa9d71175fd1786bdec2b03e67fe844349019f76a81c7db6229008ca0ebe#rd,2024/12/7 21:32
14,【原创】四六级，我考的，懂？,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651392110&idx=1&sn=3d93842f9d2f459773df4d3632c3cb5e&chksm=bd1ca5db8a6b2ccddb62f14204d0e178e514f83de888d04ff54b9bdcbd5b8349998355fc7129#rd,2024/12/6 22:05
15,形势与政策教育｜铸牢中华民族共同体意识,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651392110&idx=2&sn=ccc5b53c57c4a54e310f1261d729ffff&chksm=bd1ca5db8a6b2ccde54520fa007d4c68a2458e6577123bcc4ed21d4aaf5dbed25a125a5e2e36#rd,2024/12/6 22:05
16,心理情景剧决赛回顾 | 心灵之舞，剧绘冬梦,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651392063&idx=1&sn=ffbeecaad2974bc30771f7a0b5230251&chksm=bd1ca58a8a6b2c9c8c0cbaabbf69f4a74985302ff16270cc90035d131e84b1a6bf9238bb6b7e#rd,2024/12/5 21:51
17,“未来学院”预热 | 文思泉涌绘推文，课程助力启未来,http://mp.weixin.qq.com/s?__biz=MjM5Njk3Nzg4Mg==&mid=2651392063&idx=2&sn=183eb6a6257ae99a29d822f8cb44509a&chksm=bd1ca58a8a6b2c9c76d721899012c43a09488cd5e80100ac1fe0bf2af65e785375914711e67d#rd,2024/12/5 21:51
